cell_type	count
glomerular endothelial cell	1866
CD141-positive myeloid dendritic cell	1835
intestinal tuft cell	1809
keratocyte	1785
large intestine goblet cell	1766
neuron associated cell	1728
intestinal crypt stem cell of small intestine	1723
ganglion interneuron	1715
secondary lens fiber	1677
proerythroblast	1627
CD8-alpha alpha positive, gamma-delta intraepithelial T cell	1620
sensory neuron	1605
mesothelial cell of epicardium	1595
liver dendritic cell	1543
early T lineage precursor	1538
bipolar neuron	1499
renal beta-intercalated cell	1477
myoepithelial cell	1466
lung microvascular endothelial cell	1455
trophoblast giant cell	1450
differentiation-committed oligodendrocyte precursor	1424
collagen secreting cell	1421
activated CD8-positive, alpha-beta T cell, human	1410
vasa recta ascending limb cell	1397
fetal cardiomyocyte	1391
intestinal enteroendocrine cell	1346
blood vessel smooth muscle cell	1290
parietal cell	1283
bronchial smooth muscle cell	1282
MHC-II-positive classical monocyte	1249
type L enteroendocrine cell	1245
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	1215
memory regulatory T cell	1212
smooth muscle cell of large intestine	1197
centrocyte	1197
stem cell of epidermis	1187
L5/6 near-projecting glutamatergic neuron	1186
lymphocyte of B lineage	1170
papillary tips cell	1169
lung neuroendocrine cell	1161
Merkel cell	1159
M cell of gut	1142
OFF retinal ganglion cell	1124
B-1b B cell	1110
CD56-positive, CD161-positive immature natural killer cell, human	1108
lens fiber cell	1101
pre-B-I cell	1084
A2 amacrine cell	1070
CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	1063
primary sensory neuron (sensu Teleostei)	1030
kidney capillary endothelial cell	1008
type A enteroendocrine cell	998
epithelial cell of proximal tubule segment 3	989
small intestine goblet cell	988
megakaryocyte progenitor cell	966
epithelial cell of thymus	942
brush cell of trachebronchial tree	916
vasa recta descending limb cell	912
peritubular capillary endothelial cell	851
T follicular regulatory cell	831
lung perichondrial fibroblast	822
metallothionein-positive alveolar macrophage	820
enterocyte of epithelium proper of ileum	809
epithelial cell of proximal tubule segment 1	777
ILC1, human	776
erythroid progenitor cell, mammalian	773
PP cell	761
visceromotor neuron	756
epithelial cell of stratum germinativum of esophagus	754
connective tissue cell	747
dermis microvascular lymphatic vessel endothelial cell	742
NKp44-negative group 3 innate lymphoid cell, human	739
preosteoblast	736
oocyte	723
tendon cell	702
pre-conventional dendritic cell	698
bronchial epithelial cell	693
prostate stromal cell	691
lung interstitial macrophage	670
epithelial cell of glomerular capsule	651
stromal cell of lamina propria of small intestine	640
male germ cell	621
NKp44-positive group 3 innate lymphoid cell, human	611
basophil mast progenitor cell	611
reticulocyte	605
meningeal macrophage	603
myometrial cell	597
medium spiny neuron	593
endothelial cell of sinusoid	592
epithelial cell of uterus	582
precursor cell	567
B-1a B cell	558
CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	555
ON retinal ganglion cell	549
kidney collecting duct cell	545
glioblast	540
tuft cell of colon	524
adipocyte of epicardial fat of left ventricle	523
kidney loop of Henle ascending limb epithelial cell	508
nephron tubule epithelial cell	495
chandelier cell	490
BEST4+ intestinal epithelial cell, human	477
sebum secreting cell	449
epidermal cell	446
pancreatic PP cell	432
eosinophil	432
epithelial fate stem cell	411
Cajal-Retzius cell	411
mesenchymal lymphangioblast	410
follicular dendritic cell	398
Schwann cell precursor	384
retinal astrocyte	373
chorionic trophoblast cell	366
immature astrocyte	356
immature alpha-beta T cell	341
epithelial cell of small intestine	339
progenitor cell of endocrine pancreas	336
fibrocyte	335
cardiac mesenchymal cell	317
stromal cell of endometrium	312
enucleated reticulocyte	304
epithelial cell of sweat gland	301
granular cell of epidermis	281
colon macrophage	268
smooth muscle cell of small intestine	255
muscle precursor cell	254
mononuclear cell	242
glomerular capillary endothelial cell	235
sebaceous gland cell	233
mesothelial fibroblast	232
ileal goblet cell	230
type I enteroendocrine cell	227
type D enteroendocrine cell	226
non-myelinating Schwann cell	224
pancreatic epsilon cell	204
enucleate erythrocyte	202
enteroendocrine cell of colon	199
neutrophil progenitor cell	189
tongue muscle cell	180
kidney resident macrophage	174
myeloid dendritic cell, human	171
surface ectodermal cell	162
immature natural killer cell	158
epithelial cell of lacrimal sac	156
type II NK T cell	147
deuterosomal cell	142
noradrenergic cell	138
salivary gland cell	135
urothelial cell	135
duodenum glandular cell	132
peripheral blood mononuclear cell	131
columnar/cuboidal epithelial cell	129
serous cell of epithelium of trachea	123
kidney connecting tubule principal cell	107
sst chodl GABAergic cortical interneuron	100
DN4 thymocyte	96
group 2 innate lymphoid cell, human	93
enteroendocrine cell of small intestine	90
GIP cell	83
non-terminally differentiated cell	82
primary cultured cell	80
bone marrow cell	72
immature Schwann cell	66
brush cell of trachea	61
T-helper 2 cell	55
smooth muscle fiber of ileum	54
endosteal cell	54
mature conventional dendritic cell	51
epidermal Langerhans cell	48
kidney pelvis urothelial cell	48
serous cell of epithelium of bronchus	45
type N enteroendocrine cell	44
leptomeningeal cell	40
pre-natural killer cell	39
embryonic stem cell	34
macrophage dendritic cell progenitor	31
myoblast	29
mesothelial cell of pleura	29
sperm	22
myelinating Schwann cell	22
microfold cell of epithelium of small intestine	19
pancreatic endocrine cell	8
