Signatures,Genes
PPAGs,ADAM15/GPR56/ERBB2/VEGFA/GPI/MYH9/SPHK1/COL4A1/MED1/RBM15/ADAM8/CXCL17/IL18/WNT7B/EPHB3/ROCK2/SHB/ITGA5/COL4A2/ANGPT2/E2F7/ADM2/NAA15/TNFRSF1A/PGF/PLXDC1/TGFBR1
HLA_signature_gene,CD74/HLA-DRA/HLA-DPB1/HLA-DMB/HLA-DPA1/IL12RB1/HLA-DRB1/HLA-DOA/CIITA/HLA-F/IL2RG/PTPN7/PSMB9/SELPLG/GBP5/SASH3/IL2RB/SLA2/HCST/ARHGAP9/PTPRC/CYBB/PRF1/TAGAP/PTPN22/ITGAL/CCL5/CD53/NCKAP1L/MYO1G/CD3E/ITGB2/RASGRP1/CD7/CD247/HAVCR2/DOCK2/PDCD1/SPI1/TRAF3IP3/CD84/CD37/TNFSF13B/UBASH3A/TBX21/IL21R/CD3G/ACAP1/SPOCK2/CD226/IKZF1/HCP5/SLAMF6/LYZ/HLA-DRB6/SP140/NLRC3/FOXP3/CCR5/CYTH4/SLA/SLAMF8/HLA-DOB/LILRB4/CXCL10/PLEK/SAMSN1/CST7/LAIR1/CD48/GZMB/BIN2/BTK/DOK2/CRTAM/CD2/CXCR3/CXCL9/CYTIP/SNX20/ZBP1/UBD/IFI30/C1QA/ZAP70/IRF8/EVI2B/TIGIT/AOAH/TBC1D10C/CCL4/NKG7/SLAMF1/GZMA/1-Sep/RNASE6/LILRB1/CD3D/CD27/SIGLEC10/IL4I1/TRAT1/WDFY4/ITK/TNFRSF9/SIRPG/NCF1/RUNX3/C1QC/SECTM1/DENND1C/HLA-DRB3/CD52/CD6/C1QB/IL10RA/CXCR6/CD300LF/SH2D1A/RHOH/CD8A/JAKMIP1/CD38/GPR174/TFEC/SLFN12L/FASLG/THEMIS/FYB/PLA2G2D/EPSTI1/SIGLEC1/CTLA4/MAP4K1/PYHIN1/SPN/RARRES3/ICOS/CD5/GPR132/ZC3H12D/IL2RA/SCIMP/BIRC3/NCF1C/CSF2RB/KLRK1/TLR8/PIK3AP1/ZNF831/CXorf21/EVI2A/SAMD3/SUSD3/GZMK/GZMH/KLRD1/NCR1/IL32/TTC24/CD180/BTLA/FCRL3/PDCD1LG2/LTB/CXCL13/GPR171/CXCL11/IRF4/SIT1/EOMES/CD80/P2RY10/TNIP3/SCML4/KIR2DL4/ITGAX/LAX1/HLA-DQB2/SLAMF7/LY9/VNN2/CD28/GNLY/ABCD2/IDO1/TNFSF8/ADAMDEC1/CCR2/FUT7/CLEC6A/CR1L/LAG3/IL18RAP/KLRC3/CXorf65/KCNA3/PVRIG/KLRC4/SIGLEC7/TNFRSF13B/CCR4/TIFAB/LOC102724424/ARRDC5/GZMM/IL7R/GPR114/CXCR2P1/LTA/NAPSB/GPR183/KLRC1/HEATR9/GPR18/ZNF683/BATF2/CLNK/RGL4/FCGR1A/FCGR3A/IFNG/TARP/CD40LG/CCR8/CLEC4E/LOC100996809/CD79A/CLECL1/HK3/TOX/KLRB1/TSPAN32/CCR6/DCANP1/HLA-DRB4/CR1/SPATC1/TNFAIP8L2-SCNM1/CD19/IL12RB2/MZB1/KIAA0125/FCRL5/TTC16/IGJ/KLRC2/NCR3/CD79B/TNFRSF17/CHRNA6/TNFRSF8/GAPT/C11orf21/ANKRD36BP2/LOC101060789/IL12B/CASP1P2/LOC100293211/TLR10/CCL3/CXCR5/IGLL5/LOC100505564/KIR3DX1/LOC102724850/CCL4L1/BCL2A1/C4orf50/SPIB/STAP1/CLEC10A/RGS1/IFI44L/POU2AF1/TNFRSF18/NCF1B/HLA-DQA2/DTHD1/TVP23A/ZBED2/LOC102723407/LILRA6/FCRL2/ZBTB32/FCRL4/FCRL1/CD69/ELK2AP/LGALS2/KCNJ10/LOC100509457/FCGR1B/CD22/DNAJC5B/FAIM3/BLK/FLT3/LOC102725426/LOC102725018/ITGAD/JSRP1/ANTXRLP1/LINC00173/NUGGC/CCL18/MS4A1/HLA-DQB1/CCL19/NLRP6/LOC283710/TBC1D27/CADM3/KLRC4-KLRK1/CLEC4C/KIR3DL2/CARD17/CD8B/OR52N4/OR56B1/TSHR/AMPD1/CCL8/LILRA4/TRABD2A/FCGR1C/ANKRD29/CCL23/CR2/CLEC17A/FCER2/PAX5/FPR2/OLR1/CHI3L2/PTGDS/ANKRD55/CRB2/TCL1A/GP1BA/FADS6/KRT86/FAM129C/CCL4L2/CNR2/MMP9/HTR3A/COL4A4/CHI3L1/CCL21/EEF1A2/FSTL4/VPREB3/PNCK/DNASE1L3/FMO2/CHIT1/TMPRSS3/OR2L5/COL4A3/SLITRK6/SERPINA1/RSPO3/SLC12A3/FDCSP/BTBD16/PDZK1IP1/FMO1/RARRES1/MARCO/KLHDC7B/MMP7/KRT81/GDPD2/LTF/INA/PTPRR/MUC16/GREM1/SLC7A4/FGFR3/PLEKHS1/IGF2/FXYD2/CDH8/SHH/L1CAM/DHRS2/TOX3/GABRP/MSLN/ANXA10/SFRP2/MROH2A/GPX2/COL9A1/PHGR1/LPA/CLCA4/SPOCK3/SFRP4/MYT1/CRTAC1/TFF1/HMGCS2/SNTG1
PPARgama_target_genes,LPL/CD36/FATP1/FATP4/PEPCK/GK/PLIN/ADSF/CAP/IRS2/GLUT4
B_cells_Danaher_et_al,BLK/CD19/MS4A1/TNFRSF17/FCRL2/KIAA0125/PNOC/SPIB/TCL1A
CD45_Danaher_et_al,PTPRC
CD8_T_cells_Danaher_et_al,CD8A/CD8B
Cytotoxic_cells_Danaher_et_al,CTSW/GNLY/GZMA/GZMB/GZMH/KLRB1/KLRD1/KLRK1/PRF1/NKG7
DC_Danaher_et_al,CCL13/CD209/HSD11B1
Exhausted_CD8_Danaher_et_al,CD244/EOMES/LAG3/PTGER4
Macrophages_Danaher_et_al,CD163/CD68/CD84/MS4A4A
Mast_cells_Danaher_et_al,MS4A2/TPSAB1/CPA3/HDC/TPSB2
Neutrophils_Danaher_et_al,CSF3R/S100A12/CEACAM3/FCAR/FCGR3B/FPR1/SIGLEC5
NK_CD56dim_cells_Danaher_et_al,IL21R/KIR2DL3/KIR3DL1/KIR3DL2
NK_cells_Danaher_et_al,NCR1/XCL2/XCL1
T_cells_Danaher_et_al,CD3D/CD3E/CD3G/CD6/SH2D1A/TRAT1
Th1_cells_Danaher_et_al,TBX21
Treg_Danaher_et_al,FOXP3
TIP_Release_of_cancer_cell_antigens,IL10/TGFB1/HMGB1/ANXA1/CALR/CXCL10/PDIA3/HSPA1A/HSPA1B/HSPA2/HSPA8/HSPA4/HSPA14/HSPA5/HSPA6/HSPA9/HSPA13/HSPA7/HSPA12A/HSPA12B/HSP90AA1/HSP90AB1/HSP90B1/IFNA2/IFNA1/IFNA13/IFNA6/IFNA21/IFNA4/IFNA8/IFNA5/IFNA7/IFNA14/IFNA16/IFNA10/IFNA17/IFNB1/IFNE/IFNW1
TIP_Cancer_antigen_presentation_1,TNF/IL1A/IL1B/IFNA2/IFNA1/IFNA13/IFNA6/IFNA21/IFNA4/IFNA8/IFNA5/IFNA7/IFNA14/IFNA16/IFNA10/IFNA17/CD40LG/CD40/NT5C/HMGB1/TLR1/TLR2/TLR3/TLR4/TLR5/TLR6/TLR7/TLR8/TLR9/TLR10/HLAA/B2M/TAP1/IL10/IL4/IL13
TIP_Cancer_antigen_presentation_2,IL10/IL4/IL13
TIP_Priming_and_activation_1,CD3D/CD3E/CD3G/CD247/CD28/TNFRSF9/TNFSF9/TNFRSF4/TNFSF4/CD27/CD70/TNFRSF14/TNFSF14/CD40/CD40LG/TNFRSF18/TNFSF18/TNFRSF25/TNFSF15/TNFRSF8/TNFSF8/HAVCR1/TIMD4/SLAMF7/SLAMF6/SLAMF1/SLAMF9/SLAMF8/CD2/CD48/CD58/CD226/ICOS/ICOSLG/KLRK1/MICA/MICB/RAET1E/RAET1G/CRTAM/CADM1/CTLA4/PDCD1/PDCD1LG2/CD274/CD160/BTLA/VSIR/LAIR1/HAVCR2/LGALS9/CD244/TIGIT/NECTIN3/LAG3/IL2/IL12A/IL12B
TIP_Priming_and_activation_2,CTLA4/PDCD1/PDCD1LG2/CD274/CD160/TNFRSF14/BTLA/VSIR/LAIR1/HAVCR1/HAVCR2/LGALS9/TIMD4/CD244/CD48/TIGIT/NECTIN3/LAG3/IL2/IL12A/IL12B
TIP_Trafficking_of_immune_cells_to_tumors,CXCR5/CXCL13/CCL24/CCL26/CCL19/CX3CL1/CXCL16/CCR5/CXCR3/CXCL10/CXCL9/CCL20/CXCL11/CCR7/CCL3/CCL4/CCL5/CCL21/CCL11/CSF1/CCL2/CXCR2/CXCL5/CCL7/CXCL1/CXCL2/CXCL3/CXCL8/CXCL6/CCR6/CXCL12/CXCR4/CCL1/CCL17/CCL22/CCR4/CCR10/CCL28
TIP_Infiltration_of_immune_cells_into_tumors_1,STAT1/IRF5/KLF2/ITGB2/ICAM1/EZH2/DNMT1/VEGFA/EDNRB
TIP_Infiltration_of_immune_cells_into_tumors_2,ICAM1/EZH2/DNMT1/VEGFA/EDNRB
TIP_Recognition_of_cancer_cells_by_T_cells_1,CD28/ICOS/ICOSLG/TNFRSF9/TNFSF9/CD27/CD70/TNFRSF4/TNFSF4/TNFSF14/CD40/CD40LG/HLAA/B2M/TAP1/BIRC5/MDM2/MAGEA4/TP53/PDCD1/PDCD1LG2/CD274/CTLA4/BTLA/VTCN1
TIP_Recognition_of_cancer_cells_by_T_cells_2,PDCD1/PDCD1LG2/CD274/CTLA4/BTLA/VTCN1
TIP_Killing_of_cancer_cells_1,IFNG/GZMB/PRF1
TIP_Killing_of_cancer_cells_2,PDCD1/SMC3/VTCN1/HAVCR2/MICA/MICB/BTLA/VSIR/LAG3/IDO1/IDO2/ARG1/ARG2/NOS1/NOS2/NOS3/TGFB1/IL10/CCL28/CXCL12/CCL2/CXCL8
TLS_Nature,CD79B/CD1D/CCR6/LAT/SKAP1/CETP/EIF1AY/RBP5/PTGDS
TMEscoreA_plus,CDT1/PSAT1/IDO1/BRIP1/WARS/DTL/GBP5/KIF18A/UBD/GZMB/CCL4/CCL5/RCC1/HELLS/GNLY/TAP1/CD8A/CXCL11/GBP4/ETV7/ZNF367/CXCL10/KLRC2/CXCL9/IFNG
TMEscoreB_plus,MIR100HG/PRICKLE2/PAPLN/PLEKHH2/TNS1/MCC/MAMDC2/C14orf132/SYNPO/PID1/MCEMP1/ZCCHC24/PROS1/JAM3/TGFB1I1/MXRA7/FILIP1/CRYAB/ANTXR2
B_cells_Bindea_et_al,MS4A1/TCL1A/HLA-DOB/PNOC/KIAA0125/CD19/CR2/IGHG1/FCRL2/BLK/COCH/OSBPL10/IGHA1/TNFRSF17/ABCB4/BLNK/GLDC/MEF2C/IGHM/FAM30A/SPIB/BCL11A/GNG7/IGKC/CD72/MICAL3/BACH2/IGLA/CCR9/QRSL1/DTNB/HLA-DQA1/SCN3A/SLC15A2
T_cells_Bindea_et_al,PRKCQ/CD3D/CD3G/CD28/LCK/TRAT1/BCL11B/CD2/TRBC1/TRAA/ITM2A/SH2D1A/CD6/CD96/NCALD/GIMAP5/CD3E/SKAP1
T_helper_cells_Bindea_et_al,ICOS/LRBA/ITM2A/FAM111A/PHF10/NUP107/SEC24C/NAP1L4/BATF/ASF1A/FRYL/FUSIP1/TRAA/RPA1/UBE2L3/ANP32B/DDX50/C13orf34/PPP2R5C/SLC25A12/ATF2/CD28/GOLGA8A
Tcm_Bindea_et_al,CDC14A/ATM/USP9Y/PCNX/FOXP1/KLF12/ST3GAL1/INPP4B/CASP8/MLL/PCM1/RP11-74E24.2/PHC3/NFATC3/LOC202134/TIMM8A/ATF7IP/REPS1/PSPC1/RPP38/HNRPH1/STX16/CYLD/SNRPN/TRAF3IP3/NEFL/POLR2J2/AQP3/CG030/PDXDC2/CLUAP1/DOCK9/CYorf15B/CREBZF/CEP68/TXK/SLC7A6/FYB/MAP3K1
Tem_Bindea_et_al,TRAA/PRKY/VIL2/GDPD5/CCR2/MEFV/C7orf54/FLI1/TBC1D5/DDX17/AKT3/EWSR1/TBCD/NFATC4/LTK
